#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,<a href=https://npb.jp/bis/eng/players/33535159.html>Watarai Ryuki</a>,3,4,4,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,209,0.000,0.667,25.0%,25.0%,0.0%,0.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41245132.html>Tobashira Yasutaka</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/31735138.html>Kinami Seiya</a>,2,5,5,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0.200,0.200,0.400,0.600,87,0.200,0.333,40.0%,40.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/51955153.html>Kita Ryoto</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,33.3%,33.3%,0.0%,0.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91695157.html>Hayashi Takuma</a>,5,20,17,3,5,0,0,0,5,1,0,1,1,0,4,1,0,1,0,0.294,0.368,0.294,0.663,108,0.000,0.385,25.0%,20.0%,5.0%,0.25,-0.3,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/31835133.html>Yanagita Yuki</a>,3,12,12,1,3,0,0,1,6,3,0,0,0,0,3,0,0,0,0,0.250,0.250,0.500,0.750,127,0.250,0.250,33.3%,25.0%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,3,13,12,0,7,2,0,0,9,0,0,0,0,0,2,1,0,0,0,0.583,0.615,0.750,1.365,319,0.167,0.700,23.1%,15.4%,7.7%,0.50,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/01705130.html>Kurihara Ryoya</a>,3,13,12,0,3,1,0,0,4,0,0,0,0,0,4,1,0,0,0,0.250,0.308,0.333,0.641,99,0.083,0.375,38.5%,30.8%,7.7%,0.25,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555155.html>Kajiwara Kouki</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495139.html>Mori Tomoya</a>,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,20.0%,20.0%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/63165155.html>Mizuno Tatsuki</a>,4,15,15,1,2,0,1,0,4,0,0,0,0,0,5,0,0,0,0,0.133,0.133,0.267,0.400,21,0.133,0.200,33.3%,33.3%,0.0%,0.00,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61165159.html>Izuguchi Yuta</a>,2,10,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,30.0%,30.0%,0.0%,0.00,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81385150.html>Urata Shunsuke</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/31135130.html>Asama Daiki</a>,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/41545136.html>Kiyomiya Kotaro</a>,5,20,19,0,5,0,1,0,7,2,2,0,0,0,5,1,0,0,1,0.263,0.300,0.368,0.668,103,0.105,0.357,30.0%,25.0%,5.0%,0.20,0.4,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61465133.html>Makihara Taisei</a>,3,12,11,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0.000,0.083,0.000,0.083,-70,0.000,0.000,33.3%,25.0%,8.3%,0.33,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/51055138.html>Tamiya Yua</a>,4,15,10,1,1,0,0,0,1,0,0,0,3,0,3,2,0,0,0,0.100,0.250,0.100,0.350,13,0.000,0.143,33.3%,20.0%,13.3%,0.67,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73375157.html>Yazawa Kota</a>,4,8,8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.125,0.125,0.125,0.250,-20,0.000,0.143,12.5%,12.5%,0.0%,0.00,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/91195159.html>Ishikami Taiki</a>,5,18,17,2,3,0,0,1,6,3,1,0,0,0,7,1,0,0,0,0.176,0.222,0.353,0.575,75,0.176,0.222,50.0%,38.9%,5.6%,0.14,0.2,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,3,12,11,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0.091,0.167,0.091,0.258,-16,0.000,0.143,41.7%,33.3%,8.3%,0.25,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41945131.html>Tsutsugoh Yoshitomo</a>,5,22,19,3,6,1,0,2,13,3,0,0,0,0,4,3,0,0,1,0.316,0.409,0.684,1.093,231,0.368,0.308,40.9%,18.2%,13.6%,0.75,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495130.html>Nishino Masahiro</a>,2,8,8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-22,0.000,0.167,25.0%,25.0%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,3,13,11,2,3,0,0,0,3,0,1,0,0,0,3,2,0,0,0,0.273,0.385,0.273,0.657,114,0.000,0.375,38.5%,23.1%,15.4%,0.67,0.2,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41245153.html>Takatera Nozomu</a>,2,4,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,60,0.000,0.333,25.0%,25.0%,0.0%,0.00,0.2,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,33.3%,33.3%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01505132.html>Okoye Louis</a>,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.000,0.500,72,0.000,0.000,50.0%,0.0%,50.0%,1.00,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/63765150.html>Hernandez Ramon</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/73975136.html>Martinez Ariel</a>,2,5,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.500,0.600,0.500,1.100,236,0.000,0.500,0.0%,0.0%,0.0%,,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015136.html>Sunagawa Richard</a>,2,7,6,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0.167,0.286,0.167,0.452,47,0.000,0.333,57.1%,42.9%,14.3%,0.33,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/73075159.html>Reyes Franmil</a>,5,21,17,4,9,0,0,2,15,4,0,0,0,0,3,4,0,0,0,0.529,0.619,0.882,1.501,346,0.353,0.583,42.9%,14.3%,19.0%,1.33,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,5,22,18,0,7,2,0,0,9,1,0,1,0,0,4,4,0,0,0,0.389,0.500,0.500,1.000,203,0.111,0.500,36.4%,18.2%,18.2%,1.00,-0.3,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51455155.html>Nakagawa Hayato</a>,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,223,0.000,0.500,0.0%,0.0%,0.0%,,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,2,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,28.6%,28.6%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31335131.html>Imamiya Kenta</a>,2,8,8,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0.250,0.250,0.375,0.625,91,0.125,0.333,25.0%,25.0%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325153.html>Imagawa Yuma</a>,1,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.500,0.667,0.500,1.167,257,0.000,1.000,33.3%,33.3%,0.0%,0.00,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61065137.html>Fushimi Torai</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51955114.html>Sakamoto Hayato</a>,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,1.000,,,,,,100.0%,0.0%,100.0%,1.00,0.2,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/11915132.html>Sakamoto Seishiro</a>,3,11,7,0,1,0,0,0,1,0,0,0,1,0,4,3,0,0,0,0.143,0.400,0.143,0.543,81,0.000,0.333,63.6%,36.4%,27.3%,0.75,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325134.html>Ohyama Yusuke</a>,3,12,11,0,1,1,0,0,2,2,0,0,0,1,3,0,0,0,0,0.091,0.083,0.182,0.265,-20,0.091,0.111,25.0%,25.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91395138.html>Ohta Ryo</a>,2,8,8,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-22,0.000,0.200,37.5%,37.5%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31435157.html>Narama Taiki</a>,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/91795139.html>Kobayashi Seiji</a>,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,838,1.000,1.000,0.0%,0.0%,0.0%,,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/71775151.html>Onodera Dan</a>,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,223,0.000,0.500,0.0%,0.0%,0.0%,,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425139.html>Yamakawa Hotaka</a>,3,12,11,0,3,0,0,0,3,1,0,0,0,0,3,1,1,0,0,0.273,0.333,0.273,0.606,90,0.000,0.375,33.3%,25.0%,8.3%,0.33,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/23125136.html>Yamamoto Yuudai</a>,5,18,16,1,2,0,0,0,2,1,0,0,1,1,3,0,0,0,1,0.125,0.118,0.125,0.243,-23,0.000,0.143,16.7%,16.7%,0.0%,0.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/63165150.html>Yamagata Shu</a>,4,11,9,2,3,0,0,1,6,1,0,0,2,0,3,0,0,0,0,0.333,0.333,0.667,1.000,195,0.333,0.400,36.4%,27.3%,0.0%,0.00,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11515130.html>Okamoto Kazuma</a>,2,9,7,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0.286,0.444,0.286,0.730,137,0.000,0.333,33.3%,11.1%,22.2%,2.00,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91595136.html>Kishida Yukinori</a>,2,9,7,2,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0.143,0.333,0.143,0.476,56,0.000,0.167,33.3%,11.1%,22.2%,2.00,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/71475139.html>Minei Hiroki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,2,7,7,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.286,0.286,0.286,0.571,81,0.000,0.333,14.3%,14.3%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/41045138.html>Togo Shosei</a>,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,543,0.000,1.000,0.0%,0.0%,0.0%,,0.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/61965132.html>Sugimoto Yutaro</a>,2,8,5,1,2,0,0,1,5,1,0,0,0,0,2,2,0,1,0,0.400,0.625,1.000,1.625,407,0.600,0.500,62.5%,25.0%,25.0%,1.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/21825157.html>Matsuo Shion</a>,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,107,0.000,0.333,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625135.html>Matsumoto Go</a>,4,6,6,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0.167,0.167,0.167,0.333,5,0.000,0.250,33.3%,33.3%,0.0%,0.00,0.0,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755135.html>Kuwahara Masayuki</a>,5,23,19,2,4,1,0,0,5,0,0,0,1,0,6,1,0,2,1,0.211,0.318,0.263,0.581,82,0.053,0.308,30.4%,26.1%,4.3%,0.17,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,3,13,9,3,6,2,0,1,11,3,0,0,0,0,0,3,0,1,0,0.667,0.769,1.222,1.991,536,0.556,0.625,30.8%,0.0%,23.1%,1.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81885155.html>Masaki Tomoya</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,3,13,13,1,4,0,0,0,4,1,0,1,0,0,4,0,0,0,0,0.308,0.308,0.308,0.615,89,0.000,0.444,30.8%,30.8%,0.0%,0.00,-0.3,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/81385151.html>Umino Takashi</a>,3,9,7,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0.143,0.250,0.143,0.393,26,0.000,0.200,33.3%,22.2%,11.1%,0.50,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
