Player,Team,Position,Inning,TZR,RngR,DPR,ARM,ErrR,位置補正,Framing,Blocking,
若林 楽人,巨,LF,89.0,-2.6,-1.9,-,-0.7,0.0,-0.8,-,-,
若林 楽人,巨,RF,6.0,-0.1,-0.1,-,0.0,0.0,0.0,-,-,
西川 遥輝,ヤ,LF,3.7,-1.5,-1.1,-,-0.4,0.0,0.0,-,-,
西川 遥輝,ヤ,CF,32.0,-0.2,-0.2,-,0.0,0.0,0.1,-,-,
西川 遥輝,ヤ,RF,17.0,1.3,0.6,-,0.7,0.0,-0.1,-,-,
梶原 昂希,デ,CF,113.0,-2.8,-2.6,-,-0.2,0.1,0.4,-,-,
岡林 勇希,中,CF,130.0,-0.1,0.9,-,-1.0,0.1,0.4,-,-,
二俣 翔一,広,3B,14.0,0.6,0.9,0.2,-,-0.4,-0.1,-,-,
二俣 翔一,広,CF,57.0,2.9,1.6,-,1.3,0.0,0.2,-,-,
二俣 翔一,広,RF,29.0,0.8,0.3,-,0.5,0.0,-0.1,-,-,
近本 光司,神,CF,119.0,-3.1,-2.5,-,-0.6,0.1,0.4,-,-,
長谷川 信哉,西,RF,106.7,-0.5,-1.0,-,0.5,0.0,-0.4,-,-,
矢澤 宏太,日,LF,39.3,3.2,3.1,-,0.1,0.0,-0.4,-,-,
矢澤 宏太,日,CF,16.7,-0.3,-1.1,-,0.7,0.0,0.1,-,-,
中川 圭太,オ,CF,39.3,-0.3,-0.4,-,0.1,0.0,0.1,-,-,
中川 圭太,オ,RF,80.7,-1.0,-0.9,-,-0.1,0.0,-0.3,-,-,
小深田 大翔,楽,2B,100.7,-2.0,-2.7,0.5,-,0.2,0.3,-,-,
周東 佑京,ソ,CF,119.0,-0.6,-0.8,-,0.1,0.1,0.4,-,-,
西川 史礁,ロ,LF,70.0,2.6,1.4,-,1.1,0.0,-0.7,-,-,
西川 史礁,ロ,RF,8.0,-0.3,-0.3,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,LF,4.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
増田 珠,ヤ,1B,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
増田 珠,ヤ,LF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
増田 珠,ヤ,RF,11.0,0.8,1.2,-,-0.5,0.0,0.0,-,-,
万波 中正,日,RF,130.0,1.6,0.7,-,0.9,0.0,-0.5,-,-,
岡 大海,ロ,LF,14.0,-1.0,-0.8,-,-0.2,0.0,-0.1,-,-,
岡 大海,ロ,CF,8.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
岡 大海,ロ,RF,46.0,0.4,0.8,-,-0.3,0.0,-0.2,-,-,
赤羽 由紘,ヤ,2B,36.7,-1.1,-1.4,0.1,-,0.1,0.1,-,-,
赤羽 由紘,ヤ,3B,15.0,0.6,0.3,0.2,-,0.2,-0.1,-,-,
赤羽 由紘,ヤ,CF,47.0,1.0,1.4,-,-0.5,0.0,0.2,-,-,
赤羽 由紘,ヤ,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
オコエ 瑠偉,巨,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
オコエ 瑠偉,巨,CF,12.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
松本 剛,日,LF,5.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
松本 剛,日,CF,60.0,0.6,1.1,-,-0.6,0.0,0.2,-,-,
福田 周平,オ,LF,20.3,1.6,1.3,-,0.4,0.0,-0.2,-,-,
福田 周平,オ,CF,41.7,0.9,-0.1,-,0.9,0.0,0.1,-,-,
福田 周平,オ,DH,5.0,-,-,-,-,-,-0.1,-,-,
小郷 裕哉,楽,RF,97.7,1.5,1.5,-,0.0,0.0,-0.4,-,-,
髙部 瑛斗,ロ,CF,92.0,1.1,1.7,-,0.2,-0.8,0.3,-,-,
大盛 穂,広,CF,18.3,-1.0,-1.0,-,0.0,0.0,0.1,-,-,
中山 礼都,巨,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
中山 礼都,巨,3B,52.0,-0.9,-1.6,0.3,-,0.3,-0.2,-,-,
坂本 勇人,巨,3B,70.0,-0.2,-0.8,0.0,-,0.6,-0.3,-,-,
吉田 賢吾,日,C,1.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,
吉田 賢吾,日,1B,5.0,0.0,0.0,0.0,-,0.0,-0.1,-,-,
吉田 賢吾,日,LF,40.0,-2.0,-2.1,-,0.1,0.0,-0.4,-,-,
伏見 寅威,日,C,40.0,-0.1,-,-,-0.1,0.1,0.6,0.4,0.1,
伏見 寅威,日,DH,2.0,-,-,-,-,-,0.0,-,-,
宗山 塁,楽,SS,92.7,0.8,1.4,0.3,-,-0.9,0.8,-,-,
田宮 裕涼,日,C,63.0,-0.5,-,-,-0.4,-0.1,0.9,-0.2,-0.3,
川村 友斗,ソ,CF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
川村 友斗,ソ,RF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
萩尾 匡也,巨,LF,17.0,1.8,1.8,-,0.0,0.0,-0.2,-,-,
野間 峻祥,広,CF,34.0,-1.2,-0.9,-,-0.2,0.0,0.1,-,-,
野間 峻祥,広,RF,7.0,-0.1,-0.1,-,0.0,0.0,0.0,-,-,
郡司 裕也,日,C,26.0,-0.3,-,-,-0.3,0.0,0.4,0.0,-0.2,
郡司 裕也,日,1B,18.0,-0.8,-0.9,0.0,-,0.1,-0.2,-,-,
郡司 裕也,日,LF,13.0,0.3,0.0,-,0.3,0.0,-0.1,-,-,
宗 佑磨,オ,3B,87.0,-0.1,0.7,-0.1,-,-0.6,-0.3,-,-,
村林 一輝,楽,2B,14.0,-0.1,0.0,-0.1,-,0.1,0.0,-,-,
村林 一輝,楽,3B,11.0,0.5,0.4,0.0,-,0.1,0.0,-,-,
村林 一輝,楽,SS,23.0,-0.5,-0.8,0.1,-,0.1,0.2,-,-,
山野辺 翔,西,2B,9.0,0.1,0.1,0.0,-,0.1,0.0,-,-,
山野辺 翔,西,DH,3.0,-,-,-,-,-,0.0,-,-,
丸山 和郁,ヤ,RF,33.7,0.7,0.1,-,0.7,0.0,-0.1,-,-,
藤岡 裕大,ロ,2B,90.0,-0.1,0.0,-0.5,-,0.4,0.2,-,-,
田村 俊介,広,1B,48.0,1.3,1.1,0.0,-,0.2,-0.5,-,-,
田村 俊介,広,LF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
田村 俊介,広,RF,10.0,-0.9,-0.7,-,-0.2,0.0,0.0,-,-,
水野 達稀,日,SS,113.0,-1.9,-1.3,0.4,-,-1.0,0.9,-,-,
茶谷 健太,ロ,1B,5.0,0.0,0.0,0.0,-,0.0,-0.1,-,-,
茶谷 健太,ロ,SS,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
五十幡 亮汰,日,LF,5.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
五十幡 亮汰,日,CF,32.3,0.8,1.0,-,-0.2,0.0,0.1,-,-,
伊藤 裕季也,楽,2B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
伊藤 裕季也,楽,3B,50.0,-1.2,-1.7,0.2,-,0.4,-0.2,-,-,
伊藤 裕季也,楽,LF,2.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
伊藤 裕季也,楽,DH,8.7,-,-,-,-,-,-0.1,-,-,
藤原 恭大,ロ,CF,9.0,-2.1,-2.0,-,-0.1,0.0,0.0,-,-,
藤原 恭大,ロ,RF,42.0,-0.8,-0.1,-,-0.7,0.0,-0.2,-,-,
堂林 翔太,広,1B,51.3,0.6,0.4,0.0,-,0.2,-0.6,-,-,
渡邊 佳明,楽,1B,4.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
渡邊 佳明,楽,3B,0.7,-0.5,-0.5,0.0,-,0.0,0.0,-,-,
渡邊 佳明,楽,LF,18.0,-0.5,-0.5,-,0.0,0.0,-0.2,-,-,
渡邊 佳明,楽,RF,9.0,0.5,0.7,-,-0.2,0.0,0.0,-,-,
堀内 謙伍,楽,C,4.0,0.0,-,-,0.0,0.0,0.1,-0.3,0.0,
泉口 友汰,巨,SS,33.0,0.3,0.3,-0.2,-,0.2,0.3,-,-,
西川 愛也,西,CF,109.7,4.1,4.1,-,-0.1,0.1,0.4,-,-,
キャベッジ,巨,RF,118.0,-1.0,-1.1,-,0.2,0.0,-0.5,-,-,
岩田 幸宏,ヤ,LF,9.0,0.6,0.6,-,0.0,0.0,-0.1,-,-,
岩田 幸宏,ヤ,CF,20.7,-1.1,-1.3,-,0.2,0.0,0.1,-,-,
牧 秀悟,デ,1B,1.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
牧 秀悟,デ,2B,111.0,-0.8,-0.2,-0.2,-,-0.4,0.3,-,-,
山本 泰寛,中,2B,26.0,-1.4,-1.4,0.0,-,0.1,0.1,-,-,
山本 泰寛,中,3B,2.0,0.5,0.4,0.0,-,0.1,0.0,-,-,
矢野 雅哉,広,SS,131.3,-1.6,-1.2,-0.4,-,0.0,1.1,-,-,
中野 拓夢,神,2B,119.0,3.2,2.8,-0.1,-,0.5,0.3,-,-,
清宮 幸太郎,日,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
清宮 幸太郎,日,3B,122.0,-1.8,-0.3,-0.1,-,-1.4,-0.5,-,-,
近藤 健介,ソ,RF,19.0,0.1,0.4,-,-0.4,0.0,-0.1,-,-,
近藤 健介,ソ,DH,9.0,-,-,-,-,-,-0.1,-,-,
友杉 篤輝,ロ,SS,37.0,-0.4,-0.5,-0.1,-,0.2,0.3,-,-,
村松 開人,中,SS,130.0,0.4,0.4,0.1,-,0.0,1.1,-,-,
安田 尚憲,ロ,1B,3.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
駿太,中,LF,9.0,0.3,0.3,-,0.0,0.0,-0.1,-,-,
駿太,中,RF,10.0,0.9,0.9,-,0.0,0.0,0.0,-,-,
樋口 正修,中,2B,2.0,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
太田 椋,オ,1B,14.0,-0.3,-0.6,0.2,-,0.1,-0.2,-,-,
太田 椋,オ,2B,116.0,2.1,1.7,-0.1,-,0.5,0.3,-,-,
中村 晃,ソ,1B,12.0,0.0,0.0,0.0,-,0.0,-0.1,-,-,
中村 晃,ソ,DH,52.0,-,-,-,-,-,-0.6,-,-,
長岡 秀樹,ヤ,SS,100.7,1.3,1.4,-0.6,-,0.6,0.8,-,-,
上林 誠知,中,LF,57.0,-2.4,-1.9,-,-0.5,0.0,-0.5,-,-,
上林 誠知,中,RF,15.0,1.0,1.0,-,0.0,0.0,-0.1,-,-,
加藤 匠馬,中,C,31.0,0.1,-,-,0.1,0.0,0.4,0.3,0.2,
