Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Akiyama Takumi,24,41,31,0,2,0,0,0,2,0,0,0,9,0,15,1,0,0,1,0.065,0.094,0.065,0.159,-54,0.000,0.125,39.0%,36.6%,2.4%,0.07,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Alcantara Raul,24,12,9,0,1,0,0,0,1,1,0,0,3,0,5,0,0,0,0,0.111,0.111,0.111,0.222,-36,0.000,0.250,41.7%,41.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aoyagi Koyo,25,51,43,3,7,1,0,0,8,2,0,0,7,0,25,1,0,0,1,0.163,0.182,0.186,0.368,7,0.023,0.389,51.0%,49.0%,2.0%,0.04,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Baba Kosuke,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Chen Wei-Yin,2,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,47,0.000,0.333,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Chikamoto Koji,140,612,569,91,178,33,5,10,251,50,24,7,4,2,58,33,0,4,6,0.313,0.354,0.441,0.795,133,0.128,0.334,16.5%,9.5%,5.4%,0.57,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Egoshi Taiga,31,3,3,4,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fujinami Shintaro,21,13,9,1,1,0,0,1,4,2,0,0,4,0,7,0,0,0,0,0.111,0.111,0.444,0.555,55,0.333,0.000,61.5%,53.8%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Gunkel Joe,20,37,31,3,5,1,0,0,6,0,0,0,5,0,16,1,0,0,0,0.161,0.188,0.194,0.382,11,0.033,0.333,45.9%,43.2%,2.7%,0.06,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Haraguchi Fumihito,56,58,49,3,10,2,1,0,14,3,0,0,0,0,12,5,0,4,0,0.204,0.328,0.286,0.614,82,0.082,0.270,29.3%,20.7%,8.6%,0.42,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
