#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/13115150.html>Miyahara Shunsuke</a>,5,0,0,0,0,0,24,5.1,5,0,8,2,0,0,1,4,3,5.06,1.75,2.30,1.31,58,46,61,3.31,0.0%,33.3%,8.3%,25.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,23,L,C
,<a href=https://npb.jp/bis/eng/players/43345159.html>Morita Shunya</a>,2,1,1,0,0,0,34,9.0,4,0,4,3,0,0,1,4,1,1.00,3.73,4.51,0.78,295,98,120,-2.73,0.0%,11.8%,8.8%,2.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,L,C
,<a href=https://npb.jp/bis/eng/players/81085155.html>Ota Taisei</a>,1,0,0,0,0,0,4,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.38,-0.20,0.00,999,-10,-5,0.38,0.0%,50.0%,0.0%,50.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,27,R,C
,<a href=https://npb.jp/bis/eng/players/11015155.html>Shiroki Yamato</a>,2,0,1,0,0,0,19,5.0,4,0,3,0,0,0,0,1,1,1.80,2.42,3.22,0.80,164,64,85,-0.62,0.0%,15.8%,0.0%,15.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,22,L,C
,<a href=https://npb.jp/bis/eng/players/21025159.html>Sonoda Atsuki</a>,2,0,1,0,0,0,35,8.0,11,1,4,3,1,0,0,3,3,3.38,5.37,4.51,1.75,87,141,120,-1.99,2.9%,11.4%,8.6%,2.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,20,R,C
,<a href=https://npb.jp/bis/eng/players/41045157.html>Tamura Tomoki</a>,1,0,0,0,0,0,6,1.0,2,0,0,1,0,0,1,1,1,9.00,6.62,6.47,3.00,33,174,172,2.38,0.0%,0.0%,16.7%,-16.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,22,R,C
,<a href=https://npb.jp/bis/eng/players/11215114.html>Tanaka Masahiro</a>,1,0,1,0,0,0,17,3.0,5,0,1,3,0,0,0,2,2,6.00,5.95,5.98,2.67,49,157,159,0.05,0.0%,5.9%,17.6%,-11.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,37,R,C
,<a href=https://npb.jp/bis/eng/players/21225152.html>Tawa Ren</a>,4,0,0,0,0,0,15,4.0,2,0,2,1,0,1,0,0,0,0.00,4.12,4.13,0.75,999,108,110,-4.12,0.0%,13.3%,6.7%,6.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,23,R,C
,<a href=https://npb.jp/bis/eng/players/41045138.html>Togo Shosei</a>,1,0,0,0,0,0,25,6.0,6,1,8,2,0,0,0,3,3,4.50,4.12,2.40,1.33,66,108,64,0.38,4.0%,32.0%,8.0%,24.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,26,R,C
,<a href=https://npb.jp/bis/eng/players/61265152.html>Tomishige Eijiro</a>,4,1,1,0,0,0,14,3.2,1,0,2,2,0,0,0,2,0,0.00,4.17,4.80,0.82,999,110,127,-4.17,0.0%,14.3%,14.3%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,L,C
,<a href=https://npb.jp/bis/eng/players/53355152.html>Whitley Forrest</a>,1,0,0,0,0,0,16,4.0,4,0,4,1,0,0,0,0,0,0.00,2.37,2.92,1.25,999,62,78,-2.37,0.0%,25.0%,6.2%,18.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,28,R,C
,<a href=https://npb.jp/bis/eng/players/53555155.html>Yamada Ryusei</a>,2,0,1,0,0,0,38,8.0,9,1,3,6,0,0,2,7,7,7.88,6.75,5.59,1.88,37,177,148,1.13,2.6%,7.9%,15.8%,-7.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,L,C
,<a href=https://npb.jp/bis/eng/players/43145152.html>Yamashiro Kyohei</a>,1,0,0,0,0,0,24,5.0,3,0,3,5,0,2,1,0,0,0.00,6.62,5.63,1.60,999,174,149,-6.62,0.0%,12.5%,20.8%,-8.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,22,L,C
,<a href=https://npb.jp/bis/eng/players/11615134.html>Hasegawa Hiroki</a>,3,0,0,0,0,0,17,3.0,4,1,3,3,0,1,1,3,3,9.00,9.95,4.80,2.33,33,262,127,-0.95,5.9%,17.6%,17.6%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,27,L,E
,<a href=https://npb.jp/bis/eng/players/01105152.html>Iida Ryuto</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,43,39,-1.62,0.0%,33.3%,0.0%,33.3%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,27,R,E
,<a href=https://npb.jp/bis/eng/players/41145159.html>Ishihara Yuki</a>,2,1,0,0,0,0,23,5.0,5,0,9,3,0,0,0,3,3,5.40,1.82,2.19,1.60,55,48,58,3.58,0.0%,39.1%,13.0%,26.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,24,L,E
,<a href=https://npb.jp/bis/eng/players/21125137.html>Ishiyama Taichi</a>,5,0,1,0,0,0,19,5.0,4,1,5,1,0,0,0,4,4,7.20,4.82,2.69,1.00,41,127,71,2.38,5.3%,26.3%,5.3%,21.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,37,R,E
,<a href=https://npb.jp/bis/eng/players/01705132.html>Kozawa Reiji</a>,2,0,1,0,0,0,19,4.1,4,0,5,3,0,0,0,4,4,8.31,3.39,3.75,1.62,36,89,99,4.92,0.0%,26.3%,15.8%,10.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,28,R,E
,<a href=https://npb.jp/bis/eng/players/43145153.html>Maruyama Shota</a>,4,0,0,1,0,0,14,4.0,0,0,5,1,0,0,0,0,0,0.00,1.87,1.94,0.25,999,49,52,-1.87,0.0%,35.7%,7.1%,28.6%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,27,R,E
,<a href=https://npb.jp/bis/eng/players/01805152.html>Masui Shohta</a>,2,0,0,0,0,0,41,10.0,8,0,5,3,0,0,0,2,2,1.80,3.52,4.31,1.10,164,93,114,-1.72,0.0%,12.2%,7.3%,4.9%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,L,E
,<a href=https://npb.jp/bis/eng/players/03105159.html>Matsumoto Kengo</a>,1,0,0,0,0,0,20,4.0,7,0,3,1,0,0,0,2,2,4.50,2.87,3.80,2.00,66,76,101,1.63,0.0%,15.0%,5.0%,10.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,27,R,E
,<a href=https://npb.jp/bis/eng/players/11615159.html>Nishidate Kota</a>,1,0,0,0,0,0,4,1.0,1,1,1,0,0,0,0,1,1,9.00,14.62,2.30,1.00,33,385,61,-5.62,25.0%,25.0%,0.0%,25.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,25,R,E
,<a href=https://npb.jp/bis/eng/players/71475157.html>Nishihama Yuusei</a>,2,0,0,0,0,0,8,2.0,0,0,1,1,0,1,0,0,0,0.00,5.62,4.80,0.50,999,148,127,-5.62,0.0%,12.5%,12.5%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,23,R,E
,<a href=https://npb.jp/bis/eng/players/61265138.html>Numata Shohei</a>,2,0,0,0,0,0,10,1.0,5,0,0,0,0,0,1,4,3,27.00,3.62,4.80,5.00,11,95,127,23.38,0.0%,0.0%,0.0%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,R,E
,<a href=https://npb.jp/bis/eng/players/11515137.html>Ogawa Yasuhiro</a>,1,0,1,0,0,0,22,5.0,7,1,3,1,0,0,0,2,2,3.60,5.62,3.89,1.60,82,148,103,-2.02,4.5%,13.6%,4.5%,9.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,36,R,E
,<a href=https://npb.jp/bis/eng/players/41545153.html>Ohmichi Haruki</a>,2,0,0,1,0,0,8,2.0,1,1,3,0,0,0,0,1,1,4.50,7.12,1.05,0.50,66,187,28,-2.62,12.5%,37.5%,0.0%,37.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,27,R,E
,<a href=https://npb.jp/bis/eng/players/31735151.html>Okugawa Yasunobu</a>,1,0,0,0,0,0,23,6.0,4,1,4,1,0,0,0,2,2,3.00,4.95,3.50,0.83,98,130,93,-1.95,4.3%,17.4%,4.3%,13.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,25,R,E
,<a href=https://npb.jp/bis/eng/players/81785136.html>Sakaguchi Kousuke</a>,3,1,1,0,0,0,15,3.0,4,1,1,1,0,1,0,2,1,3.00,9.29,4.80,1.67,98,244,127,-6.29,6.7%,6.7%,6.7%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,R,E
,<a href=https://npb.jp/bis/eng/players/81785157.html>Sakamoto Takumi</a>,1,0,0,0,0,0,8,2.0,0,0,2,2,0,0,1,0,0,0.00,4.62,4.80,1.00,999,122,127,-4.62,0.0%,25.0%,25.0%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,21,L,E
,<a href=https://npb.jp/bis/eng/players/61965155.html>Satoh Takuma</a>,3,1,0,0,0,0,13,3.1,2,0,2,2,0,0,0,0,0,0.00,4.22,4.80,1.20,999,111,127,-4.22,0.0%,15.4%,15.4%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,L,E
,<a href=https://npb.jp/bis/eng/players/77575159.html>Shimokawa Shunsuke</a>,3,1,1,0,0,0,51,12.2,9,1,9,5,0,1,0,3,3,2.13,4.65,4.02,1.11,139,122,107,-2.52,2.0%,17.6%,9.8%,7.8%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,R,E
,<a href=https://npb.jp/bis/eng/players/41945139.html>Taguchi Kazuto</a>,1,0,0,0,0,0,4,1.0,1,0,2,0,0,0,0,0,0,0.00,-0.38,-0.20,1.00,999,-10,-5,0.38,0.0%,50.0%,0.0%,50.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,30,L,E
,<a href=https://npb.jp/bis/eng/players/51055132.html>Takahashi Keiji</a>,2,0,0,0,0,0,19,5.0,3,0,5,1,0,0,0,0,0,0.00,2.22,2.69,0.80,999,58,71,-2.22,0.0%,26.3%,5.3%,21.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,29,L,E
,<a href=https://npb.jp/bis/eng/players/21925139.html>Takanashi Hirotoshi</a>,1,0,0,0,0,0,20,6.0,2,0,9,0,0,0,0,1,0,0.00,0.62,0.30,0.33,999,16,8,-0.62,0.0%,45.0%,0.0%,45.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,35,R,E
,<a href=https://npb.jp/bis/eng/players/91295155.html>Takeyama Hyuga</a>,3,0,0,0,0,0,14,3.0,4,0,1,2,0,0,0,1,1,3.00,4.95,5.51,2.00,98,130,146,-1.95,0.0%,7.1%,14.3%,-7.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,22,R,E
,<a href=https://npb.jp/bis/eng/players/63965150.html>Walters Nash</a>,2,0,1,0,0,0,20,5.0,6,1,3,1,0,0,1,2,2,3.60,5.62,3.80,1.40,82,148,101,-2.02,5.0%,15.0%,5.0%,10.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,29,R,E
,<a href=https://npb.jp/bis/eng/players/71575134.html>Yasaki Takuya</a>,2,0,0,0,0,0,8,2.0,1,0,0,2,0,0,0,0,0,0.00,6.62,7.30,1.50,999,174,194,-6.62,0.0%,0.0%,25.0%,-25.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,31,R,E
,<a href=https://npb.jp/bis/eng/players/91195150.html>Arima Keito</a>,1,0,1,0,0,0,9,2.0,2,0,1,1,0,0,0,2,2,9.00,4.12,4.80,1.50,35,101,127,4.88,0.0%,11.1%,11.1%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,19,R,C
,<a href=https://npb.jp/bis/eng/players/21625134.html>Fujishima Kento</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,40,39,-1.62,0.0%,33.3%,0.0%,33.3%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,R,C
,<a href=https://npb.jp/bis/eng/players/41645132.html>Fuku Hiroto</a>,4,0,0,2,0,0,13,4.0,1,0,2,0,0,0,0,0,0,0.00,2.62,3.26,0.25,999,64,87,-2.62,0.0%,15.4%,0.0%,15.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,34,L,C
,<a href=https://npb.jp/bis/eng/players/31835159.html>Fukuda Konosuke</a>,2,0,0,1,0,0,17,4.1,3,0,2,2,0,0,1,0,0,0.00,4.08,4.80,1.15,999,100,127,-4.08,0.0%,11.8%,11.8%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,20,L,C
,<a href=https://npb.jp/bis/eng/players/51655159.html>Habu Shohta</a>,3,0,0,0,0,0,13,3.0,2,0,0,2,0,1,0,0,0,0.00,6.62,6.34,1.33,999,162,168,-6.62,0.0%,0.0%,15.4%,-15.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,25,R,C
,<a href=https://npb.jp/bis/eng/players/21425151.html>Hashimoto Yuki</a>,2,0,0,0,0,0,8,2.0,2,0,2,0,0,0,0,0,0,0.00,1.62,2.30,1.00,999,40,61,-1.62,0.0%,25.0%,0.0%,25.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,L,C
,<a href=https://npb.jp/bis/eng/players/51355150.html>Inoue Kenya</a>,4,0,0,0,0,0,15,4.0,1,0,4,3,0,0,0,0,0,0.00,3.87,4.13,1.00,999,95,110,-3.87,0.0%,26.7%,20.0%,6.7%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,19,R,C
,<a href=https://npb.jp/bis/eng/players/61165157.html>Itoh Mao</a>,3,0,0,0,0,0,15,3.0,4,1,1,2,0,0,0,3,3,9.00,9.29,5.47,2.00,35,228,145,-0.29,6.7%,6.7%,13.3%,-6.7%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,25,R,C
,<a href=https://npb.jp/bis/eng/players/61565150.html>Kanemaru Yumeto</a>,1,0,1,0,0,0,21,5.0,5,0,5,2,0,0,1,1,1,1.80,2.82,3.37,1.40,176,69,89,-1.02,0.0%,23.8%,9.5%,14.3%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,23,L,C
,<a href=https://npb.jp/bis/eng/players/21525138.html>Katsuno Akiyoshi</a>,1,0,0,0,0,0,2,0.1,1,0,0,0,0,0,0,0,0,0.00,3.62,4.80,3.00,999,89,127,-3.62,0.0%,0.0%,0.0%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,29,R,C
,<a href=https://npb.jp/bis/eng/players/11015153.html>Kondo Ren</a>,1,0,0,0,0,0,5,1.0,0,0,2,2,0,0,0,0,0,0.00,5.62,4.80,2.00,999,138,127,-5.62,0.0%,40.0%,40.0%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,27,L,C
,<a href=https://npb.jp/bis/eng/players/21225137.html>Matsuba Takahiro</a>,1,0,0,0,0,0,13,3.0,4,1,2,0,0,0,0,2,2,6.00,6.62,3.26,1.33,53,162,87,-0.62,7.7%,15.4%,0.0%,15.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,35,L,C
,<a href=https://npb.jp/bis/eng/players/73175153.html>Matsukihira Yuta</a>,3,0,1,0,0,0,53,11.0,17,3,4,5,0,0,0,12,10,8.18,7.80,4.99,2.00,39,191,132,0.38,5.7%,7.5%,9.4%,-1.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,23,R,C
,<a href=https://npb.jp/bis/eng/players/23125155.html>Miura Mizuki</a>,2,2,0,0,0,0,37,9.0,11,0,1,3,0,0,0,3,3,3.00,4.40,5.34,1.56,105,108,142,-1.40,0.0%,2.7%,8.1%,-5.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,26,L,C
,<a href=https://npb.jp/bis/eng/players/33335157.html>Moriyama Akio</a>,2,1,0,0,0,0,47,12.0,12,1,7,0,0,0,0,6,6,4.50,3.54,3.31,1.00,70,87,88,0.96,2.1%,14.9%,0.0%,14.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,21,L,C
,<a href=https://npb.jp/bis/eng/players/13915150.html>Muller Kyle</a>,1,0,0,0,0,0,16,3.0,4,0,2,2,0,0,0,0,0,0.00,4.29,4.80,2.00,999,105,127,-4.29,0.0%,12.5%,12.5%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,L,C
,<a href=https://npb.jp/bis/eng/players/41245157.html>Nakachi Reia</a>,2,2,0,0,0,0,47,11.2,8,1,7,7,0,0,0,1,1,0.77,5.34,4.80,1.29,411,131,127,-4.57,2.1%,14.9%,14.9%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,25,R,C
,<a href=https://npb.jp/bis/eng/players/11915130.html>Saitoh Kohki</a>,2,0,0,0,0,0,6,2.0,0,0,4,0,0,0,0,0,0,0.00,-0.38,-1.87,0.00,999,-9,-50,0.38,0.0%,66.7%,0.0%,66.7%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,29,L,C
,<a href=https://npb.jp/bis/eng/players/41245150.html>Takahashi Kosuke</a>,2,0,1,0,0,0,23,4.0,11,1,1,1,0,0,0,6,6,13.50,7.12,4.80,3.00,23,175,127,6.38,4.3%,4.3%,4.3%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,19,L,C
,<a href=https://npb.jp/bis/eng/players/51355134.html>Umeno Yugo</a>,1,0,0,0,0,0,3,1.0,1,0,1,0,0,0,0,0,0,0.00,1.62,1.47,1.00,999,40,39,-1.62,0.0%,33.3%,0.0%,33.3%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,27,R,C
,<a href=https://npb.jp/bis/eng/players/31635110.html>Wakui Hideaki</a>,2,0,2,0,0,0,46,11.0,13,0,2,3,0,0,0,7,6,4.91,4.08,5.02,1.45,64,100,133,0.83,0.0%,4.3%,6.5%,-2.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,40,R,C
,<a href=https://npb.jp/bis/eng/players/93395150.html>Yoshida Seiya</a>,3,1,0,0,0,0,38,8.2,10,0,3,4,0,1,0,5,5,5.19,4.66,5.06,1.62,61,114,134,0.53,0.0%,7.9%,10.5%,-2.6%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,24,L,C
,<a href=https://npb.jp/bis/eng/players/01105153.html>Abe Shota</a>,6,0,0,0,0,0,23,5.0,5,1,1,0,0,3,0,1,1,1.80,7.62,4.37,1.00,156,211,116,-5.82,4.3%,4.3%,0.0%,4.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,33,R,W
,<a href=https://npb.jp/bis/eng/players/71175159.html>Ashida Taketo</a>,4,0,0,0,0,0,25,6.1,5,0,5,1,0,0,0,0,0,0.00,2.52,3.20,0.95,999,70,85,-2.52,0.0%,20.0%,4.0%,16.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/43545159.html>Espinoza Anderson</a>,1,1,0,0,0,0,22,5.0,6,0,6,1,0,0,0,2,2,3.60,1.82,2.53,1.40,78,50,67,1.78,0.0%,27.3%,4.5%,22.7%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,28,R,W
,<a href=https://npb.jp/bis/eng/players/61765159.html>Gonda Ryusei</a>,5,2,0,1,0,0,25,6.0,3,1,9,1,0,2,0,2,1,1.50,4.29,1.60,0.67,187,119,42,-2.79,4.0%,36.0%,4.0%,32.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/03505152.html>Hjelle Sean</a>,1,0,0,0,0,0,9,2.0,2,0,5,1,0,0,0,0,0,0.00,0.12,0.36,1.50,999,3,9,-0.12,0.0%,55.6%,11.1%,44.4%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,29,R,W
,<a href=https://npb.jp/bis/eng/players/31335150.html>Inui Kento</a>,1,1,0,0,0,0,5,1.0,4,0,0,0,0,0,0,1,1,9.00,3.62,4.80,4.00,31,100,127,5.38,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/31335157.html>Iriyama Kaito</a>,7,1,0,2,0,0,32,6.2,9,1,3,3,0,0,0,7,7,9.45,6.02,4.80,1.80,30,167,127,3.43,3.1%,9.4%,9.4%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/31335116.html>Iwasaki Sho</a>,2,0,1,0,0,0,11,1.1,7,0,0,0,0,0,0,4,4,27.00,3.62,4.80,5.25,10,100,127,23.38,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,36,R,W
,<a href=https://npb.jp/bis/eng/players/01505150.html>Katayama Raiku</a>,2,0,0,0,0,0,29,7.0,7,0,6,0,0,1,0,1,1,1.29,2.34,2.73,1.00,217,65,72,-1.05,0.0%,20.7%,0.0%,20.7%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,23,R,W
,<a href=https://npb.jp/bis/eng/players/41745153.html>Kawase Kento</a>,5,0,0,1,0,0,33,5.2,10,1,7,5,0,1,1,7,7,11.12,6.62,4.19,2.65,25,184,111,4.50,3.0%,21.2%,15.2%,6.1%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/41745159.html>Kotajima Seiryu</a>,1,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,27,R,W
,<a href=https://npb.jp/bis/eng/players/43945159.html>Machado Andres</a>,1,0,0,0,0,0,5,1.0,2,0,2,0,0,0,0,1,1,9.00,-0.38,0.80,2.00,31,-11,21,9.38,0.0%,40.0%,0.0%,40.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,33,R,W
,<a href=https://npb.jp/bis/eng/players/63165159.html>Miyaguni Riku</a>,3,1,1,0,0,0,68,16.2,15,0,7,6,0,0,0,8,6,3.24,3.86,4.65,1.26,86,107,123,-0.62,0.0%,10.3%,8.8%,1.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/33335155.html>Mukunoki Ren</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,45,39,-1.62,0.0%,33.3%,0.0%,33.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/51055151.html>Satoh Kazuma</a>,2,0,0,0,0,0,18,4.2,3,0,5,1,0,0,0,3,3,5.79,2.12,2.58,0.86,48,59,68,3.67,0.0%,27.8%,5.6%,22.2%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,25,L,W
,<a href=https://npb.jp/bis/eng/players/71875152.html>Shapiro Matthewichiro</a>,1,0,0,0,0,0,4,1.0,2,0,0,0,0,0,0,1,0,0.00,3.62,4.80,2.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,23,R,W
,<a href=https://npb.jp/bis/eng/players/81985157.html>Sotani Ryuhei</a>,1,0,1,0,0,0,12,2.1,5,1,1,0,0,0,0,3,3,11.57,8.34,3.97,2.14,24,231,105,3.23,8.3%,8.3%,0.0%,8.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,25,L,W
,<a href=https://npb.jp/bis/eng/players/31035159.html>Suga Hiroto</a>,1,0,0,0,0,0,3,1.0,2,0,0,0,0,0,0,0,0,0.00,3.62,4.80,2.00,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,21,L,W
,<a href=https://npb.jp/bis/eng/players/61965136.html>Suzuki Hiroshi</a>,3,0,1,0,0,0,31,5.1,12,1,1,3,0,0,0,11,10,16.88,7.37,5.45,2.81,17,204,144,9.51,3.2%,3.2%,9.7%,-6.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,29,R,W
,<a href=https://npb.jp/bis/eng/players/41045136.html>Tajima Daiki</a>,1,0,1,0,0,0,29,6.0,6,1,4,4,0,0,0,2,2,3.00,6.45,4.80,1.67,93,179,127,-3.45,3.4%,13.8%,13.8%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,29,L,W
,<a href=https://npb.jp/bis/eng/players/51255152.html>Takaya Shu</a>,1,0,0,0,0,0,8,2.0,1,0,2,0,0,0,0,0,0,0.00,1.62,2.30,0.50,999,45,61,-1.62,0.0%,25.0%,0.0%,25.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,22,R,W
,<a href=https://npb.jp/bis/eng/players/61465150.html>Teranishi Naruki</a>,1,0,0,0,0,0,7,2.0,1,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.50,999,100,127,-3.62,0.0%,0.0%,0.0%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,23,R,W
,<a href=https://npb.jp/bis/eng/players/61065138.html>Tomiyama Ryoga</a>,4,0,0,0,0,0,17,5.0,2,0,4,0,0,0,0,0,0,0.00,2.02,2.45,0.40,999,56,65,-2.02,0.0%,23.5%,0.0%,23.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,29,L,W
