Player,Team,Position,Inning,TZR,RngR,DPR,ARM,ErrR,位置補正,Framing,Blocking,
若林 楽人,巨,LF,56.0,0.2,-0.2,-,0.4,0.0,-0.5,-,-,
西川 遥輝,ヤ,LF,3.7,-1.5,-1.1,-,-0.4,0.0,0.0,-,-,
西川 遥輝,ヤ,CF,28.0,-0.1,-0.1,-,0.0,0.0,0.1,-,-,
西川 遥輝,ヤ,RF,12.0,0.6,0.1,-,0.5,0.0,0.0,-,-,
梶原 昂希,デ,CF,83.0,-0.5,-0.5,-,0.0,0.0,0.3,-,-,
岡林 勇希,中,CF,81.0,-1.3,0.1,-,-1.4,0.0,0.3,-,-,
二俣 翔一,広,3B,10.0,0.3,0.6,0.2,-,-0.5,0.0,-,-,
二俣 翔一,広,CF,29.0,2.2,0.9,-,1.3,0.0,0.1,-,-,
二俣 翔一,広,RF,26.0,0.2,0.3,-,-0.1,0.0,-0.1,-,-,
近本 光司,神,CF,83.0,-3.2,-2.6,-,-0.6,0.0,0.3,-,-,
長谷川 信哉,西,RF,61.0,0.0,-1.2,-,1.2,0.0,-0.2,-,-,
矢澤 宏太,日,LF,14.3,2.2,1.5,-,0.7,0.0,-0.1,-,-,
矢澤 宏太,日,CF,16.7,-0.1,-1.0,-,0.9,0.0,0.1,-,-,
中川 圭太,オ,CF,22.3,-0.6,-0.6,-,0.0,0.0,0.1,-,-,
中川 圭太,オ,RF,41.7,0.2,0.1,-,0.1,0.0,-0.2,-,-,
小深田 大翔,楽,2B,47.7,-0.9,-1.1,0.1,-,0.1,0.1,-,-,
周東 佑京,ソ,CF,70.0,-1.1,-1.2,-,0.1,0.0,0.2,-,-,
西川 史礁,ロ,LF,50.0,2.0,1.0,-,1.1,0.0,-0.5,-,-,
西川 史礁,ロ,RF,8.0,-0.3,-0.3,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,LF,3.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
増田 珠,ヤ,1B,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
増田 珠,ヤ,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
万波 中正,日,RF,73.0,0.4,0.2,-,0.2,0.0,-0.3,-,-,
岡 大海,ロ,LF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
岡 大海,ロ,CF,8.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
岡 大海,ロ,RF,39.0,-0.4,-0.2,-,-0.2,0.0,-0.2,-,-,
赤羽 由紘,ヤ,2B,36.7,-1.3,-1.5,0.1,-,0.1,0.1,-,-,
赤羽 由紘,ヤ,3B,11.0,0.7,0.5,0.0,-,0.1,0.0,-,-,
赤羽 由紘,ヤ,CF,25.0,1.7,1.8,-,-0.1,0.0,0.1,-,-,
赤羽 由紘,ヤ,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
オコエ 瑠偉,巨,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
オコエ 瑠偉,巨,CF,8.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
松本 剛,日,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
松本 剛,日,CF,18.0,0.8,0.9,-,-0.2,0.0,0.1,-,-,
福田 周平,オ,LF,7.3,0.1,0.1,-,0.0,0.0,-0.1,-,-,
福田 周平,オ,CF,28.7,1.4,0.4,-,1.0,0.0,0.1,-,-,
福田 周平,オ,DH,1.0,-,-,-,-,-,0.0,-,-,
小郷 裕哉,楽,RF,57.7,1.5,1.8,-,-0.2,0.0,-0.2,-,-,
髙部 瑛斗,ロ,CF,65.0,1.3,1.1,-,0.2,0.0,0.2,-,-,
大盛 穂,広,CF,9.3,-0.6,-0.6,-,0.0,0.0,0.0,-,-,
中山 礼都,巨,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
中山 礼都,巨,3B,36.0,0.4,-0.1,0.2,-,0.3,-0.1,-,-,
坂本 勇人,巨,3B,42.0,0.7,0.3,0.0,-,0.4,-0.2,-,-,
吉田 賢吾,日,1B,5.0,0.0,0.0,0.0,-,0.0,-0.1,-,-,
吉田 賢吾,日,LF,34.0,-2.4,-2.2,-,-0.2,0.0,-0.3,-,-,
伏見 寅威,日,C,20.0,0.3,-,-,0.3,0.0,0.3,-0.1,0.1,
宗山 塁,楽,SS,59.7,0.3,0.8,-0.1,-,-0.5,0.5,-,-,
田宮 裕涼,日,C,36.0,0.2,-,-,0.4,-0.2,0.5,-1.4,0.0,
川村 友斗,ソ,CF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
川村 友斗,ソ,RF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
萩尾 匡也,巨,LF,17.0,1.8,1.8,-,0.0,0.0,-0.2,-,-,
野間 峻祥,広,CF,13.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
野間 峻祥,広,RF,5.0,-0.1,-0.1,-,0.0,0.0,0.0,-,-,
郡司 裕也,日,C,17.0,-0.1,-,-,-0.1,0.0,0.2,-0.1,-0.2,
郡司 裕也,日,1B,18.0,-0.9,-1.0,0.0,-,0.1,-0.2,-,-,
宗 佑磨,オ,3B,46.0,1.6,1.1,0.0,-,0.5,-0.2,-,-,
村林 一輝,楽,2B,14.0,-0.1,0.0,-0.1,-,0.0,0.0,-,-,
村林 一輝,楽,3B,11.0,0.5,0.4,0.0,-,0.1,0.0,-,-,
村林 一輝,楽,SS,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
山野辺 翔,西,2B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
キャベッジ,巨,RF,81.0,-0.2,-0.5,-,0.3,0.0,-0.3,-,-,
岩田 幸宏,ヤ,LF,5.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
岩田 幸宏,ヤ,CF,20.7,-1.0,-1.2,-,0.3,0.0,0.1,-,-,
牧 秀悟,デ,1B,1.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
牧 秀悟,デ,2B,81.0,-0.7,-0.1,-0.1,-,-0.5,0.2,-,-,
山本 泰寛,中,2B,17.0,-0.3,-0.4,0.1,-,0.0,0.0,-,-,
山本 泰寛,中,3B,2.0,0.5,0.4,0.0,-,0.1,0.0,-,-,
矢野 雅哉,広,SS,73.3,-0.1,-0.2,-0.2,-,0.3,0.6,-,-,
中野 拓夢,神,2B,83.0,1.9,2.0,-0.3,-,0.3,0.2,-,-,
西川 愛也,西,CF,62.0,0.9,0.8,-,0.2,0.0,0.2,-,-,
清宮 幸太郎,日,3B,73.0,-3.4,-2.1,0.0,-,-1.3,-0.3,-,-,
近藤 健介,ソ,RF,19.0,0.1,0.5,-,-0.4,0.0,-0.1,-,-,
近藤 健介,ソ,DH,9.0,-,-,-,-,-,-0.1,-,-,
藤岡 裕大,ロ,2B,54.0,-1.8,-1.4,-0.5,-,0.1,0.1,-,-,
友杉 篤輝,ロ,SS,29.0,-0.2,-0.1,-0.2,-,0.1,0.2,-,-,
村松 開人,中,SS,81.0,-0.6,-0.2,0.1,-,-0.4,0.7,-,-,
安田 尚憲,ロ,1B,3.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
駿太,中,LF,6.0,0.3,0.3,-,0.0,0.0,-0.1,-,-,
駿太,中,RF,10.0,0.9,0.9,-,-0.1,0.0,0.0,-,-,
樋口 正修,中,2B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
太田 椋,オ,1B,10.0,-0.4,-0.7,0.2,-,0.0,-0.1,-,-,
太田 椋,オ,2B,63.0,0.7,0.5,0.1,-,0.1,0.2,-,-,
中村 晃,ソ,DH,32.0,-,-,-,-,-,-0.4,-,-,
長岡 秀樹,ヤ,SS,74.7,0.6,0.5,-0.3,-,0.4,0.6,-,-,
上林 誠知,中,LF,43.0,0.7,0.6,-,0.1,0.0,-0.4,-,-,
上林 誠知,中,RF,15.0,1.0,1.0,-,0.0,0.0,-0.1,-,-,
加藤 匠馬,中,C,20.0,-0.1,-,-,-0.1,0.0,0.3,-0.3,0.1,
野村 勇,ソ,SS,2.0,0.1,0.1,0.0,-,0.0,0.0,-,-,
野村 勇,ソ,DH,2.0,-,-,-,-,-,0.0,-,-,
鈴木 大地,楽,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
鈴木 大地,楽,3B,25.0,0.5,0.2,0.0,-,0.3,-0.1,-,-,
川瀬 晃,ソ,1B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
川瀬 晃,ソ,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
川瀬 晃,ソ,SS,8.0,-0.3,-0.2,-0.1,-,0.0,0.1,-,-,
ダウンズ,ソ,2B,35.0,-0.4,-0.2,-0.3,-,0.1,0.1,-,-,
ダウンズ,ソ,3B,2.0,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
ダウンズ,ソ,DH,1.0,-,-,-,-,-,0.0,-,-,
今川 優馬,日,LF,7.7,-0.3,-0.3,-,0.0,0.0,-0.1,-,-,
今川 優馬,日,CF,21.0,0.2,0.3,-,-0.2,0.0,0.1,-,-,
五十幡 亮汰,日,CF,17.3,0.7,0.7,-,0.0,0.0,0.1,-,-,
角中 勝也,ロ,LF,8.0,0.9,0.9,-,0.0,0.0,-0.1,-,-,
伊藤 裕季也,楽,3B,16.0,-0.3,-0.3,0.0,-,0.0,-0.1,-,-,
伊藤 裕季也,楽,DH,8.7,-,-,-,-,-,-0.1,-,-,
茂木 栄五郎,ヤ,3B,62.7,3.1,2.1,0.2,-,0.9,-0.2,-,-,
ブライト 健太,中,LF,10.0,0.1,0.1,-,0.0,0.0,-0.1,-,-,
吉川 尚輝,巨,2B,81.0,3.3,2.7,0.4,-,0.2,0.2,-,-,
筒香 嘉智,デ,LF,31.0,0.5,0.8,-,-0.3,0.0,-0.3,-,-,
カリステ,中,1B,46.0,0.1,0.0,-0.1,-,0.2,-0.5,-,-,
カリステ,中,LF,15.0,-0.7,-0.7,-,0.0,0.0,-0.1,-,-,
神里 和毅,デ,LF,4.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
神里 和毅,デ,RF,4.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
小園 海斗,広,2B,9.0,0.1,0.7,0.1,-,-0.7,0.0,-,-,
小園 海斗,広,3B,63.3,-1.2,-1.9,0.2,-,0.5,-0.2,-,-,
佐藤 輝明,神,3B,83.0,1.4,0.8,-0.2,-,0.8,-0.3,-,-,
ネビン,西,1B,59.0,0.4,0.0,0.2,-,0.2,-0.7,-,-,
レイエス,日,DH,53.0,-,-,-,-,-,-0.6,-,-,
紅林 弘太郎,オ,SS,46.0,-1.6,-2.1,0.4,-,0.1,0.4,-,-,
柳田 悠岐,ソ,LF,39.0,0.7,0.7,-,0.0,0.0,-0.4,-,-,
柳田 悠岐,ソ,DH,28.0,-,-,-,-,-,-0.3,-,-,
藤原 恭大,ロ,RF,22.0,-2.0,-1.4,-,-0.5,0.0,-0.1,-,-,
サンタナ,ヤ,LF,64.0,-3.3,-2.8,-,-0.5,0.0,-0.6,-,-,
佐野 恵太,デ,1B,16.0,0.2,0.1,0.0,-,0.0,-0.2,-,-,
佐野 恵太,デ,LF,41.0,-3.0,-3.0,-,0.0,0.0,-0.4,-,-,
奈良間 大己,日,2B,9.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
奈良間 大己,日,DH,2.0,-,-,-,-,-,0.0,-,-,
西川 龍馬,オ,LF,53.7,1.4,2.2,-,-0.7,0.0,-0.5,-,-,
西川 龍馬,オ,DH,6.0,-,-,-,-,-,-0.1,-,-,
廣岡 大志,オ,1B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
廣岡 大志,オ,3B,3.0,-0.5,0.2,0.0,-,-0.7,0.0,-,-,
廣岡 大志,オ,LF,2.0,-0.5,-0.5,-,0.0,0.0,0.0,-,-,
廣岡 大志,オ,CF,6.0,-2.0,-2.1,-,0.0,0.0,0.0,-,-,
廣岡 大志,オ,RF,0.3,0.0,0.0,-,0.0,0.0,0.0,-,-,
細川 成也,中,RF,56.0,-1.0,-0.2,-,-0.9,0.0,-0.2,-,-,
三森 大貴,デ,1B,10.0,-0.8,-0.8,0.0,-,0.0,-0.1,-,-,
三森 大貴,デ,RF,34.0,-1.6,-1.7,-,0.1,0.0,-0.1,-,-,
麦谷 祐介,オ,CF,16.0,0.3,0.3,-,0.0,0.0,0.1,-,-,
元山 飛優,西,1B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
元山 飛優,西,2B,15.0,0.3,0.2,0.0,-,0.0,0.0,-,-,
元山 飛優,西,SS,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
元山 飛優,西,DH,2.0,-,-,-,-,-,0.0,-,-,
オリバレス,オ,DH,30.0,-,-,-,-,-,-0.4,-,-,
辰己 涼介,楽,CF,61.7,2.6,2.6,-,0.1,0.0,0.2,-,-,
緒方 理貢,ソ,LF,5.0,0.1,0.1,-,0.0,0.0,0.0,-,-,
滝澤 夏央,西,2B,11.0,1.0,1.0,0.0,-,0.1,0.0,-,-,
滝澤 夏央,西,3B,2.0,-0.6,-0.6,0.0,-,0.0,0.0,-,-,
滝澤 夏央,西,SS,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
岡本 和真,巨,1B,79.0,1.4,1.8,0.0,-,-0.3,-0.9,-,-,
オースティン,デ,1B,53.0,0.2,0.0,0.0,-,0.2,-0.6,-,-,
石川 昂弥,中,3B,79.0,-1.0,-1.5,-0.2,-,0.7,-0.3,-,-,
柴田 竜拓,デ,3B,7.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
モンテロ,広,1B,25.0,0.5,0.4,0.0,-,0.1,-0.3,-,-,
森下 翔太,神,RF,83.0,0.5,0.7,-,-0.2,0.0,-0.3,-,-,
セデーニョ,西,DH,52.0,-,-,-,-,-,-0.6,-,-,
野村 佑希,日,1B,35.0,-0.2,-0.3,0.0,-,0.1,-0.4,-,-,
野村 佑希,日,LF,15.0,1.0,1.0,-,0.0,0.0,-0.1,-,-,
野村 佑希,日,DH,9.0,-,-,-,-,-,-0.1,-,-,
杉本 裕太郎,オ,RF,24.0,-0.5,0.1,-,-0.6,0.0,-0.1,-,-,
杉本 裕太郎,オ,DH,36.0,-,-,-,-,-,-0.4,-,-,
山川 穂高,ソ,1B,69.0,0.7,1.9,-0.1,-,-1.1,-0.8,-,-,
ポランコ,ロ,LF,8.0,0.8,0.9,-,-0.1,0.0,-0.1,-,-,
ポランコ,ロ,DH,63.0,-,-,-,-,-,-0.8,-,-,
武岡 龍世,ヤ,2B,3.0,0.4,0.4,0.0,-,0.0,0.0,-,-,
中村 剛也,西,DH,8.0,-,-,-,-,-,-0.1,-,-,
ソト,ロ,1B,59.0,-1.6,-1.7,-0.1,-,0.2,-0.7,-,-,
ソト,ロ,DH,10.0,-,-,-,-,-,-0.1,-,-,
オスナ,ヤ,1B,73.7,-0.4,0.2,-0.1,-,-0.5,-0.8,-,-,
堂林 翔太,広,1B,35.3,0.1,0.1,0.0,-,0.1,-0.4,-,-,
蝦名 達夫,デ,LF,7.0,0.1,0.1,-,0.0,0.0,-0.1,-,-,
蝦名 達夫,デ,RF,45.0,-0.3,-0.6,-,0.3,0.0,-0.2,-,-,
山足 達也,広,1B,6.0,0.0,-0.1,0.0,-,0.0,-0.1,-,-,
阿部 寿樹,楽,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
阿部 寿樹,楽,LF,28.0,0.9,1.3,-,-0.4,0.0,-0.3,-,-,
阿部 寿樹,楽,DH,19.0,-,-,-,-,-,-0.2,-,-,
田中 和基,楽,LF,13.0,0.4,0.4,-,0.0,0.0,-0.1,-,-,
茶谷 健太,ロ,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
田村 俊介,広,1B,7.0,0.2,0.2,0.0,-,0.0,-0.1,-,-,
田村 俊介,広,LF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
田村 俊介,広,RF,10.0,-0.9,-0.7,-,-0.2,0.0,0.0,-,-,
宮﨑 敏郎,デ,3B,67.0,0.2,0.8,0.0,-,-0.6,-0.3,-,-,
林 琢真,デ,2B,2.0,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
林 琢真,デ,3B,3.0,-0.5,-0.5,0.0,-,0.0,0.0,-,-,
林 琢真,デ,SS,8.0,0.1,0.2,-0.1,-,0.0,0.1,-,-,
山中 稜真,オ,LF,10.0,0.9,0.9,-,0.0,0.0,-0.1,-,-,
山中 稜真,オ,RF,7.0,-0.8,-0.6,-,-0.2,0.0,0.0,-,-,
ヘルナンデス,巨,LF,6.0,0.6,0.3,-,0.3,0.0,-0.1,-,-,
ヘルナンデス,巨,CF,73.0,-0.2,0.9,-,-1.1,0.0,0.2,-,-,
京田 陽太,デ,1B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
京田 陽太,デ,3B,6.0,0.4,0.4,-0.1,-,0.1,0.0,-,-,
秋山 翔吾,広,CF,22.0,-0.3,0.0,-,-0.3,0.0,0.1,-,-,
大山 悠輔,神,1B,83.0,-0.7,-0.8,0.0,-,0.2,-0.9,-,-,
渡部 聖弥,西,LF,62.0,-0.6,-0.8,-,0.2,0.0,-0.6,-,-,
浅村 栄斗,楽,1B,56.7,0.1,0.1,0.0,-,0.1,-0.6,-,-,
正木 智也,ソ,LF,28.0,1.7,1.8,-,-0.1,0.0,-0.3,-,-,
正木 智也,ソ,RF,43.0,0.7,0.6,-,0.2,0.0,-0.2,-,-,
佐藤 都志也,ロ,C,46.0,-1.1,-,-,-0.9,-0.2,0.7,0.6,-0.1,
佐藤 都志也,ロ,1B,9.0,-0.5,-0.5,0.0,-,0.0,-0.1,-,-,
板山 祐太郎,中,2B,63.0,0.4,0.4,-0.2,-,0.1,0.2,-,-,
マルティネス,日,1B,15.0,0.1,0.1,0.0,-,0.1,-0.2,-,-,
マルティネス,日,DH,9.0,-,-,-,-,-,-0.1,-,-,
末包 昇大,広,LF,5.0,-0.2,-0.5,-,0.3,0.0,0.0,-,-,
末包 昇大,広,RF,32.3,0.7,0.4,-,0.3,0.0,-0.1,-,-,
山田 哲人,ヤ,2B,35.0,0.0,0.8,-0.1,-,-0.7,0.1,-,-,
ファビアン,広,LF,64.3,-0.1,0.3,-,-0.5,0.0,-0.6,-,-,
頓宮 裕真,オ,1B,60.0,0.2,0.1,0.0,-,0.1,-0.7,-,-,
大城 滉二,オ,2B,10.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
大城 滉二,オ,SS,12.0,1.0,0.9,0.0,-,0.1,0.1,-,-,
甲斐 拓也,巨,C,78.0,-0.2,-,-,-0.5,0.2,1.1,1.8,0.3,
並木 秀尊,ヤ,CF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
渡邊 佳明,楽,1B,4.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
渡邊 佳明,楽,3B,0.7,-0.5,-0.5,0.0,-,0.0,0.0,-,-,
渡邊 佳明,楽,LF,9.0,-0.2,-0.2,-,0.0,0.0,-0.1,-,-,
中田 翔,中,1B,35.0,1.0,0.8,0.0,-,0.1,-0.4,-,-,
前川 右京,神,LF,63.0,-4.6,-3.9,-,-0.7,0.0,-0.6,-,-,
外崎 修汰,西,3B,57.0,-2.1,-0.2,-0.2,-,-1.6,-0.2,-,-,
武藤 敦貴,楽,LF,11.7,1.8,1.2,-,0.6,0.0,-0.1,-,-,
武藤 敦貴,楽,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
今宮 健太,ソ,SS,62.0,-0.2,-0.7,0.2,-,0.2,0.5,-,-,
濱田 太貴,ヤ,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
濱田 太貴,ヤ,RF,31.0,0.0,0.0,-,0.0,0.0,-0.1,-,-,
松尾 汐恩,デ,C,15.3,0.1,-,-,-0.1,0.1,0.2,-0.9,0.0,
