Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Itoh Masashi,21,10,5,0,0,3,2,572,146.2,120,8,91,21,2,4,3,40,39,2.39,3.02,3.58,0.96,132,85,99,-0.63,1.4%,15.9%,3.7%,12.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Murakami Shoki,22,10,6,0,1,2,1,532,144.1,92,9,137,15,0,1,0,30,28,1.75,2.28,2.51,0.74,180,65,69,-0.53,1.7%,25.8%,2.8%,23.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kuri Aren,26,8,8,0,0,3,3,706,174.1,142,8,129,49,7,10,2,58,49,2.53,3.17,3.67,1.10,123,91,101,-0.64,1.1%,18.3%,6.9%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tokoda Hiroki,24,11,7,0,0,2,2,636,156.0,144,13,86,28,1,5,3,46,38,2.19,3.65,3.89,1.10,142,105,107,-1.46,2.0%,13.5%,4.4%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Azuma Katsuki,24,16,3,0,0,4,2,665,172.1,149,14,133,15,2,1,1,40,38,1.98,2.83,3.03,0.95,163,79,84,-0.85,2.1%,20.0%,2.3%,17.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Imanaga Shota,22,7,4,0,0,2,0,596,148.0,132,17,174,24,4,4,2,46,46,2.80,2.75,2.28,1.05,115,76,63,0.05,2.9%,29.2%,4.0%,25.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Togo Shosei,24,12,5,0,0,4,2,676,170.0,141,14,141,39,0,3,2,49,45,2.38,3.19,3.29,1.06,135,89,91,-0.81,2.1%,20.9%,5.8%,15.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Yamasaki Iori,23,10,5,0,0,3,1,586,149.0,119,10,106,25,3,7,3,46,45,2.72,3.13,3.42,0.97,118,87,94,-0.41,1.7%,18.1%,4.3%,13.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Ogawa Yasuhiro,23,10,8,0,0,0,0,579,144.0,124,14,86,33,2,4,2,60,54,3.38,3.88,3.88,1.09,100,103,107,-0.50,2.4%,14.9%,5.7%,9.2%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ogasawara Shinnosuke,25,7,12,0,0,1,1,665,160.2,153,14,134,41,1,4,3,69,64,3.59,3.34,3.40,1.21,82,101,94,0.25,2.1%,20.2%,6.2%,14.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Takahashi Hiroto,25,7,11,0,0,1,1,621,146.0,129,6,145,51,0,9,8,52,41,2.53,2.82,3.29,1.23,117,85,91,-0.29,1.0%,23.3%,8.2%,15.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Yanagi Yuya,24,4,11,0,0,2,0,636,158.1,126,6,105,47,1,4,2,46,43,2.44,3.17,3.89,1.09,121,96,107,-0.73,0.9%,16.5%,7.4%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Miyagi Hiroya,22,10,4,0,0,3,3,575,146.2,107,7,122,31,1,5,1,38,37,2.27,2.73,3.22,0.94,136,79,89,-0.46,1.2%,21.2%,5.4%,15.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamamoto Yoshinobu,23,16,6,0,0,2,1,636,164.0,117,2,169,28,0,6,1,27,22,1.21,1.76,2.58,0.88,256,51,71,-0.55,0.3%,26.6%,4.4%,22.2%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Ojima Kazuya,25,10,6,0,0,0,0,657,158.1,143,14,114,57,0,6,2,64,61,3.47,3.94,3.93,1.26,95,107,109,-0.47,2.1%,17.4%,8.7%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
Norimoto Takahiro,24,8,8,0,0,0,0,636,155.0,134,7,111,44,0,1,5,57,45,2.61,3.06,3.75,1.15,119,88,104,-0.45,1.1%,17.5%,6.9%,10.6%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
Taira Kaima,23,11,7,0,0,0,0,611,150.0,115,10,153,55,2,5,0,47,40,2.40,3.06,3.20,1.13,132,87,88,-0.66,1.6%,25.0%,9.0%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
Takahashi Kona,23,10,8,0,0,4,2,626,155.0,123,8,120,47,1,7,7,47,38,2.21,3.20,3.63,1.10,143,91,100,-0.99,1.3%,19.2%,7.5%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
Itoh Hiromi,24,7,10,0,0,3,1,649,153.1,147,11,134,41,0,8,2,64,59,3.46,3.18,3.37,1.23,90,91,93,0.28,1.7%,20.6%,6.3%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
Katoh Takayuki,24,7,9,0,0,3,1,648,163.1,162,14,83,16,2,1,2,59,52,2.87,3.45,3.77,1.09,109,99,104,-0.58,2.2%,12.8%,2.5%,10.3%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
