PlayerNum,Player,Link,BirthDate,Height,Weight,T,B,Note,Team,jpPlayer
46,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,97,R,L,,Hanshin Tigers,秋山 拓巳
16,Ando Yuya,https://npb.jp/bis/eng/players/41145115.html,Dec. 27 1977,184,99,R,R,,Hanshin Tigers,安藤 優也
50,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,182,82,R,R,,Hanshin Tigers,青柳 晃洋
98,Dolis Rafael,https://npb.jp/bis/eng/players/03505132.html,Jan. 10 1988,195,109,R,R,Registered (Feb. 23).,Hanshin Tigers,ドリス
13,Enokida Daiki,https://npb.jp/bis/eng/players/01305133.html,Aug. 7 1986,181,92,L,L,,Hanshin Tigers,榎田 大樹
22,Fujikawa Kyuji,https://npb.jp/bis/eng/players/71073888.html,Jul. 21 1980,185,86,R,L,,Hanshin Tigers,藤川 球児
19,Fujinami Shintaro,https://npb.jp/bis/eng/players/41045137.html,Apr. 12 1994,197,89,R,R,,Hanshin Tigers,藤浪 晋太郎
45,Fujitani Kosuke,https://npb.jp/bis/eng/players/41645134.html,Feb. 12 1996,194,90,R,R,,Hanshin Tigers,藤谷 洸介
40,Fukunaga Shungo,https://npb.jp/bis/eng/players/01605134.html,May 14 1994,185,90,R,L,,Hanshin Tigers,福永 春吾
36,Hamachi Masumi,https://npb.jp/bis/eng/players/71675134.html,May 25 1998,184,88,R,R,,Hanshin Tigers,浜地 真澄
30,Ishizaki Tsuyoshi,https://npb.jp/bis/eng/players/81185130.html,Sep. 9 1990,183,89,R,R,,Hanshin Tigers,石崎 剛
92,Ito Kazuo,https://npb.jp/bis/eng/players/41145135.html,Dec. 13 1989,186,95,R,R,,Hanshin Tigers,伊藤 和雄
17,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,84,L,L,,Hanshin Tigers,岩貞 祐太
21,Iwata Minoru,https://npb.jp/bis/eng/players/51355112.html,Oct. 31 1983,179,94,L,L,,Hanshin Tigers,岩田 稔
67,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,90,L,L,,Hanshin Tigers,岩崎 優
64,Kuwahara Kentaro,https://npb.jp/bis/eng/players/31735116.html,Oct. 29 1985,184,84,R,R,,Hanshin Tigers,桑原 謙太朗
